,word1,word2,score
0,worth,free,0.369248292463
1,attitudes,lax,0.994270517004
2,settlement,achieve,0.378663300407
3,mask,stripped,0.722122956036
4,time,round,0.676453364279
5,stretched,ahead,0.702680041197
6,shape,disguise,0.586667032238
7,fat,stale,0.65552776054
8,network,constructing,0.574426023537
9,particular,listed,0.153615485052
10,namely,linking,0.294456348517
11,mounted,scenes,0.890230707633
12,objective,central,0.746438616219
13,solo,scale,0.978885059166
14,expected,entitled,0.397329621855
15,tools,solution,0.443350009658
16,paid,kept,0.311760235363
17,held,positions,0.504554630774
18,dips,preparing,0.174491495532
19,industry,image,0.660718485287
20,watched,round,0.294189519
21,stuff,chart,0.94054254418
22,science,image,0.370467441431
23,potential,role,0.775984931547
24,capacity,pyramid,0.328916735623
25,assigned,base,0.35917361748
26,meeting,round,0.398064894108
27,changed,subject,0.632544225242
28,labour,flight,0.718684077608
29,extent,feature,0.572847900583
30,space,invaders,0.786632058497
31,principle,reduce,0.253644859971
32,data,level,0.219438269862
33,nosedives,cut,0.295683759382
34,arrives,getting,0.395236287587
35,objectives,meet,0.641717981073
36,reconstruction,rise,0.375139665042
37,valley,form,0.531665020385
38,line,drawings,0.639191860351
39,establishing,spent,0.463548546958
40,country,territory,0.369248292463
41,imagine,hard,0.417295419088
42,framework,models,0.288712117341
43,competition,stages,0.253644859971
44,argument,relied,0.504554630774
45,provided,advances,0.407857499647
46,potential,fields,0.5087778781
47,time,collapsing,0.409078086091
48,speech,shown,0.324769415988
49,based,block,0.521914874054
50,checklists,situation,0.289647859904
51,lard,feeling,0.513145646528
52,devoted,resources,0.669104009241
53,provisions,exert,0.153615485052
54,filled,imagery,0.755447735276
55,characteristics,inherited,0.679489270806
56,history,reading,0.679489270806
57,items,combine,0.444210622665
58,crime,form,0.378663300407
59,waiting,cut,0.459284002183
60,deprivation,pushed,0.425127313505
61,Silence,denounces,0.166912757746
62,posters,stare,0.407355378943
63,touched,base,0.719243561434
64,historical,operating,0.378663300407
65,forced,consider,0.722605348766
66,statement,set,0.38252384674
67,philosophers,consider,0.41180720609
68,time,represent,0.994167662343
69,poet,float,0.20101079205
70,toured,ignored,0.301505355478
71,assumption,false,0.50469029006
72,housing,poor,0.752053611669
73,cider,sold,0.596975755257
74,estimate,passes,0.304654494374
75,action,guide,0.752053611669
76,task,tearing,0.606449371475
77,term,include,0.387213291284
78,soon,moving,0.395801094337
79,reports,arrangement,0.161833212282
80,feared,growing,0.31786213746
81,parliament,advances,0.392593240199
82,litres,spilled,0.434010577505
83,behaviour,standards,0.406336371358
84,minority,reached,0.679489270806
85,choice,subject,0.326809561647
86,little,odd,0.657229248716
87,totalization,proceed,0.478305799681
88,manslaughter,reduced,0.549885363012
89,report,makes,0.356650531448
90,perform,inventory,0.416266590556
91,Taking,role,0.168917320243
92,variable,susceptible,0.342626431704
93,ears,found,0.299853919769
94,fringe,darkly,0.168107382258
95,departments,planning,0.291980818818
96,start,load,0.185479867625
97,routine,tell,0.662852827543
98,None,strong,0.239714920179
99,expertise,takes,0.752053611669
100,sounding,determined,0.346463204142
101,violence,natural,0.624749019541
102,nursery,ran,0.600286947869
103,draws,line,0.75706915
104,marble,floor,0.847864367396
105,recognise,possessing,0.166055434504
106,boys,lean,0.739568902392
107,space,short,0.743808892786
108,carrying,bound,0.153615485052
109,reduce,form,0.536778487023
110,penalty,calculations,0.627733779924
111,based,system,0.412478354931
112,knowledge,deep,0.705083099341
113,orientates,introduction,0.752053611669
114,subject,tussle,0.657759040122
115,bid,joint,0.605643977372
116,style,piece,0.375934180409
117,picked,web,0.305137000154
118,value,release,0.63916045069
119,relation,valued,0.504554630774
120,gifts,hints,0.679489270806
121,life,refugee,0.707907825799
122,asserted,quarters,0.387636741644
123,smile,spread,0.967448203496
124,system,called,0.385252966738
125,sustained,clinging,0.892687837537
126,display,steps,0.335852122535
127,failure,stemmed,0.595172046688
128,set,fought,0.153615485052
129,prey,alert,0.409078086091
130,variety,enormous,0.923675936036
131,suddenly,raised,0.531665020385
132,candidates,assess,0.356650531448
133,market,liberation,0.712036442499
134,demands,heavy,0.803470970663
135,status,abuse,0.705046606219
136,contract,enjoy,0.157837707274
137,draws,role,0.468187812777
138,Paths,allowing,0.455237879785
139,north,clumps,0.564284936685
140,nodes,network,0.722273659753
141,fascination,grew,0.682883394413
142,fields,application,0.301043965765
143,childhood,training,0.61000931778
144,keeper,stretch,0.792176164099
145,association,led,0.38252384674
146,round,bend,0.584272667942
147,potential,sources,0.632622058917
148,social,ensembles,0.689647330854
149,philosophers,drawn,0.428921463893
150,local,structure,0.633280530301
151,switch,shadow,0.440528701333
152,moment,getting,0.224576720232
153,engaging,regard,0.786449716518
154,Society,secure,0.189702089847
155,constituencies,ready,0.353004501249
156,requires,context,0.497964964442
157,free,plant,0.525151804891
158,flood,models,0.360053866665
159,framing,gold,0.417111840067
160,definitions,adoption,0.297422727585
161,documentaries,materials,0.708285913125
162,goes,looking,0.311330950769
163,gloom,add,0.657573013545
164,name,middle,0.749890184838
165,records,fusion,0.318980149882
166,linked,closely,0.836358013859
167,told,pressure,0.263592717237
168,carers,background,0.490199202264
169,drink,free,0.645726315772
170,minute,break,0.5913586281
171,quantitative,assessments,0.539719671735
172,interspersed,descents,0.874733329538
173,drink,commit,0.699602509751
174,replace,tried,0.402014526571
175,riots,responses,0.490199202264
176,studies,concentrate,0.474000018999
177,schools,consider,0.185479867625
178,rules,follow,0.486153079866
179,happened,denied,0.123505676166
180,strategy,marks,0.633378160186
181,tackle,directed,0.604274035289
182,stemmed,forces,0.744907922411
183,whiteness,dimmed,0.534305242327
184,homogeneity,form,0.271953163016
185,strong,weakened,0.166055434504
186,themselves,defining,0.579001581261
187,drinking,attitudes,0.619439968388
188,careful,makes,0.504554630774
189,self-indulgent,fault,0.71751965021
190,visits,plant,0.313926189807
191,beg,borrow,0.21863593337
192,momentarily,defeated,0.605730571149
193,majority,vast,0.712345419623
194,framework,takes,0.7247010243
195,choice,model,0.484852851922
196,importance,attached,0.765157868523
197,effective,murder,0.890230707633
198,otherwise,slow,0.593036956729
199,standard,stuff,0.537098883464
200,notice,served,0.752053611669
201,Mollyrange,round,0.875647980842
202,failed,growth,0.424619133459
203,maintain,momentum,0.650304796431
204,explanation,sergeant,0.487541973669
205,economic,focus,0.574426023537
206,attention,draws,0.507560924578
207,justification,creating,0.633984961622
208,source,tension,0.510689588717
209,contrast,vividly,0.793891920195
210,suit,ceremonial,0.326322725717
211,debates,contribute,0.474854250314
212,conditions,stress,0.609447607807
213,world,headquarters,0.53171893455
214,Crisis,describes,0.47622538401
215,circuses,slither,0.486412461074
216,ago,mark,0.242762201555
217,process,accept,0.568438252309
218,advancing,fronts,0.425187695332
219,tram,dynamic,0.478744505494
220,policy,roots,0.377115042166
221,contacts,main,0.660718485287
222,impressive,list,0.676453364279
223,inspection,system,0.38252384674
224,relationships,close,0.456325763673
225,mouth,hint,0.34450215438
226,days,dominated,0.851058772172
227,origins,provide,0.323102914744
228,fun,pokes,0.752053611669
229,specialized,nature,0.642200161404
230,sort,stop,0.752053611669
231,societies,decide,0.566915140275
232,usually,form,0.569268825548
233,altogether,form,0.263531856667
234,singing,appeal,0.459284002183
235,season,suspension,0.182696989387
236,houses,combine,0.54537561
237,form,built,0.504554630774
238,reminder,backdrop,0.261435499634
239,plummeting,parachutist,0.269224043018
240,expect,return,0.370639256078
241,asset,generating,0.449023228904
242,bit,hard,0.624678124378
243,slash,takes,0.311115417095
244,breathing,whistled,0.668151509443
245,acceptance,decoration,0.304654494374
246,Prayer,sail,0.596370267092
247,guardians,suit,0.461005003024
248,idiots,welcomed,0.755447735276
249,sequence,dictated,0.967448203496
250,risk,slight,0.707661167605
251,days,followed,0.679489270806
252,Co-operation,role,0.383534856645
253,approach,acquaintance,0.289323015184
254,proliferation,-lane,0.371056393732
255,party,stood,0.490517123837
256,remains,inherited,0.755447735276
257,party,propping,0.719591206788
258,tackled,viewed,0.266971266057
259,chemistry,course,0.531665020385
260,debt,ceiling,0.941643757502
261,life,retains,0.416266590556
262,Morning,rise,0.343622520868
263,artist,broke,0.28846835189
264,samples,sampling,0.259682727086
265,views,looked,0.424619133459
266,mimic,role,0.567743016593
267,elements,found,0.170154760838
268,GIS,linking,0.189702089847
269,Extroverts,rules,0.190408255052
270,firm,solicitors,0.48890655521
271,skills,handle,0.362899650982
272,pioneering,fusion,0.189702089847
273,event,makes,0.391318173743
274,soup,heart,0.164865379166
275,flesh,missing,0.437290684795
276,women,distinguishing,0.320353825024
277,course,employs,0.752053611669
278,formulation,relation,0.672016599507
279,change,feel,0.378663300407
280,makes,contribution,0.253644859971
281,confused,left,0.640763024991
282,special,lead,0.378080851201
283,provide,power,0.378663300407
284,attitudes,rigid,0.416266590556
285,child,stage,0.166055434504
286,infliction,pain,0.752053611669
287,visiting,spent,0.375934180409
288,steps,forming,0.504554630774
289,deaths,reducing,0.442732700447
290,share,fair,0.809422110677
291,time,dominates,0.275588261977
292,alleviated,conditions,0.60902743974
293,mind,changed,0.778920290749
294,Makes,change,0.390551170533
295,effect,matrix,0.423365601733
296,opinions,arising,0.720289409644
297,policy,supported,0.619439968388
298,references,grid,0.893020392882
299,obsession,responses,0.54040911855
300,link,make-up,0.451826075577
301,bring,grinding,0.189872370992
302,funding,lost,0.662895428481
303,response,produces,0.574426023537
304,strength,weakness,0.41720872547
305,wife,burden,0.341863773085
306,bridge,fly,0.772358086242
307,complexity,focus,0.752053611669
308,minimum,fixing,0.695738669686
309,dream-work,detour,0.484423925078
310,article,argues,0.537564672564
311,undoubtedly,seen,0.641717981073
312,unrest,symptom,0.38574220204
313,level,helped,0.40457512248
314,Property,gone,0.434642045975
315,found,versions,0.41180720609
316,format,powerful,0.40920123417
317,assemble,network,0.682883394413
318,information,support,0.442593240199
319,roofs,brood,0.810665985787
320,taking,head,0.306790994655
321,day,gifts,0.141048442678
322,dropped,beaten,0.300709821334
323,assortment,holding,0.679489270806
324,substitute,power,0.312778823835
325,children,written,0.786371881772
326,boy,picking,0.35194153387
327,policing,tactics,0.765674200208
328,realize,links,0.314639761126
329,help,depressed,0.574426023537
330,pauses,picking,0.153615485052
331,foster,sought,0.976643975555
332,management,role,0.752053611669
333,exactly,looking,0.380150276802
334,gifts,heavens,0.702680041197
335,boys,image,0.42009199744
336,nets,reflectors,0.344930713493
337,statements,asserting,0.490156920686
338,socially,constructed,0.632909268992
339,requires,defence,0.58419885751
340,sense,trauma,0.744404588104
341,music,access,0.310352210255
342,battle,field,0.294189519
343,bothered,strain,0.161833212282
344,finally,nailed,0.441622681949
345,housing,urged,0.550512635412
346,autonomy,concerned,0.461005003024
347,assistance,received,0.41180720609
348,boyfriend,fix,0.170154760838
349,foundation,curiously,0.83909100175
350,salad,savagery,0.238847891828
351,news,bit,0.416266590556
352,shortly,followed,0.77330228552
353,days,seen,0.682883394413
354,fostering,attitudes,0.994270517004
355,allows,level,0.28846835189
356,safety,contribution,0.253644859971
357,culpable,regarded,0.407857499647
358,girls,entering,0.316792743272
359,westerns,appeal,0.5913586281
360,crafted,bringing,0.393544129196
361,maintain,focus,0.662852827543
362,review,course,0.755447735276
363,comes,defined,0.504554630774
364,harmony,half,0.763701346552
365,risk,assessments,0.663597914864
366,riots,view,0.676453364279
367,payment,taking,0.203022634137
368,ground,sunk,0.574426023537
369,thrived,market,0.829073925294
370,tenants,deposit,0.318704208983
371,government,head,0.492592433901
372,consequences,serious,0.425737145882
373,road,spend,0.311046509434
374,aims,support,0.345667669999
375,lot,tough,0.657229248716
376,economies,home,0.778790002764
377,trading,blocks,0.569160032744
378,buildings,considered,0.265496405363
379,attracted,proportion,0.325654250898
380,offer,resolution,0.468187812777
381,motionless,lake,0.425737145882
382,deal,helped,0.383565976883
383,lies,message,0.504554630774
384,worth,regiment,0.488326961577
385,portion,short,0.770097680732
386,listing,free,0.586667032238
387,constituted,system,0.59771706193
388,path,ran,0.627733779924
389,form,built,0.31049088222
390,requires,rule,0.662852827543
391,specialist,activities,0.406851582613
392,fault,assume,0.872833668212
393,seen,source,0.550512635412
394,employment,return,0.314008933448
395,attempts,perceived,0.677840653816
396,stables,stages,0.417126883904
397,lower,standard,0.403536404414
398,vanished,allowing,0.153615485052
399,advances,attitudes,0.371140501508
400,lost,survey,0.344930713493
401,glanced,support,0.586610971754
402,freeing,necessity,0.639198690058
403,wish,harm,0.646115729804
404,fell,wall,0.203481758992
405,concern,sidelines,0.166055434504
406,provide,form,0.369248292463
407,increased,rise,0.370467441431
408,pile,considered,0.708126180191
409,calls,carried,0.903525677419
410,closely,system,0.348785291464
411,analysis,based,0.385252966738
412,tenants,charge,0.490199202264
413,packaged,appeal,0.393526398362
414,bursting,packed,0.162292337136
415,boards,sat,0.840375732568
416,themselves,commit,0.933553168111
417,CEGB,divided,0.490199202264
418,ill-equipped,strain,0.263531856667
419,probation,proposes,0.190408255052
420,produce,situation,0.684377549799
421,models,sophisticated,0.539719671735
422,Bloody,hell,0.737862559103
423,presence,seats,0.166055434504
424,test,satisfies,0.553754822936
425,beds,block,0.203481758992
426,discussion,reopened,0.51185514687
427,songs,rebellion,0.385310145152
428,time,passed,0.641717981073
429,independent,sector,0.591465880232
430,praise,team,0.402014526571
431,lengths,goes,0.702635286376
432,swirling,round,0.847864367396
