,word1,word2,score
0,fretted,mother,1.43651294328
1,dramatic,warbling,1.99975326287
2,social,malaise,1.1763296292
3,hen,mother,1.15640566524
4,wrung,washing,1.32700561866
5,mere,decoration,1.00959439281
6,independence,form,1.46764838585
7,sympathy,rose,1.09570127496
8,resources,injection,1.39617019159
9,bestowed,cause,1.37836181425
10,cut-throat,world,1.68539360753
11,curb,theatrical,1.33899953269
12,cat,swing,1.46957317534
13,method,bang,1.4404011061
14,decorative,smartness,1.56306509736
15,fallen,hammer,1.12493330307
16,programmes,resistance,1.56641359421
17,slopes,broad,1.08338308166
18,smack,modest,1.8885885267
19,example,lured,1.33899953269
20,imagination,failure,1.26557061342
21,images,stereotypical,1.24544921555
22,emulate,passing,1.43833949062
23,feelings,probing,1.44585060212
24,followed,swiftly,1.30897212442
25,chest,fountain,1.28596967105
26,ranks,melt,1.27670172035
27,propensity,choose,1.5147348155
28,creative,drive,1.22044921555
29,named,magically,1.48236576726
30,frame-up,victim,1.28092444633
31,intellectual,mould,1.42146351899
32,operator,under-used,1.07770665359
33,prosperous,adviser,1.43358523236
34,reflected,glory,1.91493987805
35,hawk,whistling,1.500211751
36,carpet,Deep,1.6371759892
37,races,umpire,1.92340995527
38,door,revolving,1.35804226765
39,discernible,feature,1.35678904433
40,contagious,richly,1.80752792064
41,rocks,responding,1.59103575594
42,activity,hive,1.86041156084
43,gods,air,1.52886312343
44,worry,score,1.2312892981
45,temptation,feeds,1.31852613862
46,dialectic,adversaries,1.8001827296
47,jagged,recesses,1.21477708789
48,patriotism,wave,1.09389786939
49,instructions,chains,1.46116239211
50,considerations,stand,1.40339723574
51,invaders,repelling,1.58649810428
52,riddled,seen,1.50957437034
53,awkwardly,fiddled,1.40160364181
54,campaigns,orchestrated,1.50195618155
55,rods,infant,1.49995317985
56,ideal,defining,1.3432651358
57,salad,attacked,1.2394102407
58,history,decomposes,1.76853398604
59,crowned,elevation,1.41198813927
60,spy,port,1.93398863548
61,mutinous,condition,1.41206953457
62,sore,Stuck,1.04875260401
63,penury,slipped,1.92340995527
64,ceremonial,armour,1.4859661273
65,sufficiently,refined,1.42373093361
66,space,overflow,1.02961588592
67,bury,reservations,1.04105274159
68,dramatist,uncover,1.18583871575
69,pillbox,mouth,1.74475561287
70,lasciviously,dropped,1.72986548871
71,artistic,terrain,1.20310966066
72,songs,emblems,1.76605968338
73,expression,regard,1.42373093361
74,masonry,craft,1.16621534458
75,rust,succumbed,1.71894081784
76,fascination,exert,1.018409542
77,totally,expunged,1.06424121898
78,words,furnish,1.47672253188
79,riots,propelled,1.36414601848
80,direction,discerned,1.49128817012
81,remove,scourge,1.39545242967
82,powder-keg,leads,1.11222525982
83,swathe,lay,1.3216867084
84,rod,golden,1.50995818376
85,puff,dust,1.40529916359
86,midwife,freedom,1.37184288636
87,infusion,physical,1.05297287799
88,bridge,boasted,1.0694911458
89,vicissitudes,markets,1.33899953269
90,mincemeat,bloody,1.67127676494
91,specificity,virtues,1.5572146253
92,ring,bells,1.26945599539
93,leather,affair,1.38755418878
94,extenuating,defined,1.32886150033
95,opposite,worlds,1.03881165798
96,advent,languages,1.34702172384
97,sleek,sliding,1.37364414165
98,feeling,amorous,1.449240219
99,indifference,extreme,1.28557683635
100,cut-and-dried,views,1.30107306084
101,planet,path,1.76530348477
102,property,portfolio,1.10192357823
103,heinous,forms,1.63867439664
104,faculty,immature,1.08305475871
105,burns,running,1.77835531244
106,conifers,packed,1.04105274159
107,intensity,serious,1.47639750743
108,dilapidated,pillbox,1.08630793893
109,nymphos,hop,1.29643196512
110,iconoclasm,fell,1.03541861261
111,trouble,idiosyncratic,1.1492621611
112,air,vibrating,1.32133641936
113,operations,overlay,1.13308334051
114,waste,chain,1.90666907399
115,transformed,depth,1.01442357823
116,companionship,uncensorious,1.9753772591
117,auctions,attractive,1.6276124257
118,words,control,1.12092880829
119,thicket,inpenetrable,1.5131902264
120,all-green,world,1.86316869725
121,struggle,uphill,1.29431849299
122,financial,strain,1.20273170178
123,mess,discordant,1.6045998057
124,customary,sense,1.31717550545
125,comment,curious,1.01660421218
126,block,yielding,1.37624117202
127,paperwork,catch,1.32669900252
128,tiny,scatter,1.259225485
129,looks,read,1.02961588592
130,able,nail,1.02579998424
131,determined,coldly,1.60493967845
132,rags,thrown,1.47561135757
133,western,struggling,1.42373093361
134,jacket,boxy,1.44180463893
135,pair,piqued,1.20310966066
136,silence,game,1.30941820607
137,boundaries,frozen,1.40787567883
138,apocalyptic,tones,1.91493987805
139,keeping,lid,1.29978563367
140,sprinkled,joust,1.44558351429
141,practico-,inert,1.88602879929
142,falling,parachutist,1.99975326287
143,upheavals,confined,1.08891190449
144,heap,visited,1.18294993372
145,-elaborate,imagery,1.2002064148
146,totalization,law,1.49627774064
147,sans,pilgrimage,1.62655792736
148,recession,heated,1.33845935597
149,multiplier,asset,1.34544921555
150,valley,lonely,1.97503940981
151,civilised,cast,1.37905422139
152,subsumption,eluded,1.64353398604
153,corduroy,battalions,1.29948340366
154,dreams,transmute,1.76605968338
155,tang,half-,1.38755418878
156,smiles,broke,1.1480362145
157,totalization,struggles,1.290327936
158,technology,masculine,1.81587450841
159,longed,hook,1.16923526318
