,word1,word2,score
0,persuasion,soft,2.1107807518
1,pervasive,sense,2.08654199526
2,blackness,inky,2.08654199526
3,enjoyable,ritualise,2.01527406499
4,drastic,pruning,2.02596736699
5,quarter,atmospheric,2.00172861045
6,party,steady,2.08654199526
7,quarter-wave,curl,2.08654199526
8,business,ticklish,2.2086063892
9,indispensable,flexibility,2.03416104288
10,biographies,parasitic,2.08654199526
11,featureless,sheets,2.1107807518
12,stuck,obstinately,2.02596736699
13,quality,gladiatorial,2.08654199526
14,mouth,secretive,2.09723529726
15,cowboy,code,2.03416104288
16,burn,filling,2.12168040958
17,ills,perennial,2.08654199526
18,whiteness,slices,2.08654199526
19,articulate,views,2.05839979942
20,steel,jungle,2.08654199526
21,coalition,dynamic,2.00172861045
22,ears,sessile,2.1107807518
23,soupy,voice,2.08654199526
24,dreams,tread,2.08654199526
25,insect,outlandish,2.08654199526
26,warbling,dramatic,2.1107807518
27,eyrie,buzzard,2.09453955326
28,pakiteng,heifers,2.00741598814
29,bursting,stars,2.1107807518
30,culture,mother,2.17349303952
31,battalions,corduroy,2.1107807518
32,leafy,retreat,2.08654199526
33,elaborately,composed,2.14925428297
34,saunter,boneless,2.1107807518
35,stone,coping,2.08654199526
36,skinhead,invaders,2.08654199526
37,jet,snarl,2.1107807518
38,ever-so-slightly,faded,2.13733845893
39,diesels,rasping,2.08654199526
40,ragbag,elements,2.08654199526
41,non-punitive,model,2.08654199526
42,millenarian,vision,2.1107807518
43,perched,mosquito,2.16279973752
44,reality,bloodspattered,2.10008744981
45,varied,flurries,2.03416104288
46,school,pre-packed,2.02596736699
47,necks,creamy,2.09723529726
48,snob,roaring,2.2192996912
49,dialectical,perspective,2.10008744981
50,ditches,spider-web,2.08654199526
51,ease,well-fed,2.1107807518
52,sermons,stone,2.09723529726
53,dig,spider-web,2.17349303952
54,motor,growling,2.04485434488
55,ethnic,dimension,2.08654199526
56,statement,sombre,2.05839979942
57,deviation,marks,2.08654199526
58,twins,trash,2.08654199526
59,mistrust,poisoned,2.08654199526
60,hulks,litter,2.00172861045
61,aperitif,sharpen,2.04770649743
62,ragged,heads,2.08654199526
63,fancy,flight,2.00172861045
64,voluminous,clouds,2.08654199526
65,totalizing,struggle,2.00172861045
66,moors,folds,2.1107807518
67,freedom,midwife,2.17349303952
68,scraped,home,2.08654199526
69,blobs,sheets,2.08654199526
70,stylist,polished,2.05839979942
71,soporific,calm,2.08654199526
72,laugh,transplanted,2.08654199526
73,meriting,lip,2.07425428297
74,political,bonus,2.09723529726
75,languor,heavy,2.0170111758
76,outmoded,approach,2.03443744421
77,rivers,lazy,2.1107807518
78,suburban,sprawl,2.08654199526
79,paradoxical,foundation,2.08654199526
80,expensive,cripplingly,2.09723529726
81,barriers,formidable,2.08654199526
82,stomach,somersault,2.02374414221
83,sun,lingers,2.09047049919
84,diehard,campaign,2.06078879556
85,squirming,discomfort,2.1107807518
86,anger,sparking,2.09723529726
87,tower,soulless,2.08654199526
88,pencilled,firmly,2.1107807518
89,negotiating,machinery,2.1107807518
90,night,magnifies,2.12136342383
91,six-pack,solitary,2.11682185054
92,social,atom,2.08654199526
93,Kafkaesque,honeycombs,2.12136342383
94,incongruous,note,2.08654199526
95,sun,catch,2.1107807518
96,provocative,assessment,2.11682185054
97,pride,injured,2.08654199526
98,service,assiduous,2.01019868767
99,view,stroboscopic,2.12136342383
100,print,gutter,2.08654199526
101,wind,raise,2.1107807518
102,council,hack,2.2192996912
103,physics,dull,2.1107807518
104,phallocentric,world,2.1107807518
105,wind,bitten,2.1107807518
106,typefaces,poor,2.08654199526
107,down-setting,decent,2.14925428297
108,impatience,tide,2.08654199526
109,functional,sleekly,2.08654199526
110,plurality,decomposes,2.10008744981
111,lingering,malaise,2.14106060708
112,expensive,infant,2.11682185054
113,feminism,strident,2.03416104288
114,profusion,careless,2.08654199526
115,draughty,inflexible,2.08654199526
116,painted,immaculately,2.03416104288
117,informality,careful,2.1107807518
118,iniquity,den,2.08654199526
119,onrush,pursuit,2.08654199526
120,hills,bubbles,2.1107807518
121,elements,discordant,2.02596736699
122,living,precarious,2.08654199526
123,culpability,shades,2.01527406499
124,plausible,emblems,2.08654199526
125,gossip-columnist,fodder,2.02596736699
126,comments,thick,2.10008744981
127,Russian,warhorses,2.08654199526
128,trees,battalions,2.08654199526
129,precarious,hold,2.1107807518
130,barking,hollow,2.1107807518
131,glowering,darkly,2.08654199526
